image_number,subjects,fonds_title,creator,description,image_title,names,creation_date,image_url
EA-10-137,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,: Streets - Jasper Avenue - 101 Street - Inclined Railway - Bu...,Edmonton - Looking South from 101A Ave. on 101 Street,,1913,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5Mjg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcwNzU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1388,,Northern Alberta Pioneers and Old Timers' Association fonds,Frasch,: Jasper Avenue and 109 Street; Western Shoe Repair,Street Railway Construction,,,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5NDg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcwOTU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1428,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid #22 65,on: near 95th and 103 Avenue Buildings - Humberstone Coal Co. E... Edmonton Iron Works Streets - 103 Avenue 96 Street...,Humberstone Coal Co.,,1917,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5OTM=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcxNDA=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1429,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,: Streets - 101A Avenue 94 Street Buildings - Houses,Mining Ground Cracks - Streets of Edmonton,,"March 14, 1927",https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=Mjk5OTQ=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcxNDE=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1436,,Northern Alberta Pioneers and Old Timers' Association fonds,F. Gillis,,John Walter Mill - Lumber Haulers,,1914,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAwMDI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcxNDk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-145,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,: 109 Street Subway (under const.) - Streets - Jasper,Jasper Avenue Looking East,,,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAwMTc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcxNjQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-1464,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Buildings - C.P.R. Station (Under Const.) Business - E.H. Gale & Co. Advertising - Billboards,Subway - C.P.R. - Under Const.,,1912,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAwMzI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcxNzk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-150,,Northern Alberta Pioneers and Old Timers' Association fonds,D. Ritchie,,Edmonton - Downtown - Looking Northeast from 102 Street,,1920,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAwNzI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcyMTk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-153,,Northern Alberta Pioneers and Old Timers' Association fonds,,: Streets - 115 Street - Victoria Street,Edmonton -115 Street and Victoria Avenue,,"July 19, 1905",https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAxMDY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcyNTM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-154,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Edmonton - 109 Street,,1927,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAxMTc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcyNjQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-155,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios,: Streets - 102 Avenue (Athabasca) - 125 Street - Bridges - Gr...,Edmonton - West End - Looking West on 102 Avenue,,1914,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAxMjg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcyNzU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-156,,Northern Alberta Pioneers and Old Timers' Association fonds,McDermid Studios #1210,,Edmonton - Looking Northeast,,1912,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAxNDA=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcyODc=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-157,,Northern Alberta Pioneers and Old Timers' Association fonds,Longs Studios - Edmonton,: Streets - 107 Street - 106 Street - 98 Avenue - McDougall Hi...,Edmonton - Looking Northeast,,1930,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAxNTE=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTcyOTg=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-158,,Northern Alberta Pioneers and Old Timers' Association fonds,C.W. Mathers,: Streets - 104 Avenue (Isabella St) - 103 Avenue - Buildings ...,Edmonton - From Top of New School,,1902,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAxNjI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTczMDk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-161,,Northern Alberta Pioneers and Old Timers' Association fonds,C.W. Mathers,: Grierson Street,Indians Dancing on Jasper Avenue,,1898,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAxOTY=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTczNDM=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-162,,Northern Alberta Pioneers and Old Timers' Association fonds,,: 98 Street 99 Street,Jasper Avenue looking west,,1898,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAyMDc=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTczNTQ=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-163,,Northern Alberta Pioneers and Old Timers' Association fonds,,,Subject Jasper Avenue - Looking West from 100A Street,,1900,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAyMTg=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTczNjU=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
EA-10-167,,Northern Alberta Pioneers and Old Timers' Association fonds,Frasch,: Description Buildings - Post Office -Imperial Bank of Canada -Dominion Bank Building - Gariepy Block - Canada PERMANENT Trust - McLeod Building Streets - McDougall Ave. - 100 Street - 101A Ave. (Rice St.) Hotels - Macdonald Hotel Transportation - Horse a,McDougall Avenue Looking South,,1915,https://archivesphotos.edmonton.ca/Presto/GetImage.axd?ctID=YTA5ZDY0NTMtYTg5Ni00MGJjLTgxYWEtYWI4MmYzMTJmZDIx&rID=MzAyNjI=&pID=MTU3&tSize=MjAw&uSesDM=False&rIdx=MTc0MDk=&rCFU=&aw=Q2l0YXRpb258dmlld0lEXzUwODY3fHZpZXdpdGVtSURfNTA5Mzg=
